file,ch1_rms,ch1_peak,ch1_std,ch1_kurtosis,ch2_rms,ch2_peak,ch2_std,ch2_kurtosis,ch3_rms,ch3_peak,ch3_std,ch3_kurtosis,ch4_rms,ch4_peak,ch4_std,ch4_kurtosis,ch5_rms,ch5_peak,ch5_std,ch5_kurtosis,ch6_rms,ch6_peak,ch6_std,ch6_kurtosis,ch7_rms,ch7_peak,ch7_std,ch7_kurtosis,ch8_rms,ch8_peak,ch8_std,ch8_kurtosis,timestamp,time_to_failure,days_to_failure
2003.10.22.12.06.24,0.12461381908219489,0.72,0.08112208481351668,1.0697168532225767,0.11749315326627814,0.701,0.07064816223878957,3.0669252574072887,0.1304552822390205,0.674,0.09064791370390897,0.20983013457084443,0.12164211343019993,0.53,0.07750778956980983,0.29258558444847127,0.12888705027471,0.496,0.09146079412059295,0.40583054697351484,0.1318211210655727,0.784,0.09548571481434373,0.7775455732286849,0.10902048975995292,0.413,0.06008455467869835,0.790735900517876,0.1152674244979501,0.471,0.06638000658537442,1.8087247016315988,2003-10-22 12:06:24,827.5588888888889,34.48162037037037
2003.10.22.12.09.13,0.12381119580648291,0.654,0.07951541832160951,1.1621282658413783,0.11683251358448447,0.581,0.0695290951852267,2.0017976449893817,0.13148990760047422,0.645,0.09025796942271395,0.22973297550194038,0.12218175577929996,0.625,0.07673906708667641,0.29200960222115846,0.12956208695061994,0.566,0.09173211723900661,0.44611950007317747,0.13204902043872996,0.576,0.09438343026256452,0.6827363493370386,0.1088995061577703,0.42,0.05941987858530326,1.235297149690461,0.1092078942208678,0.627,0.06474435556318117,1.8739394938415632,2003-10-22 12:09:13,827.5119444444445,34.47966435185185
2003.10.22.12.14.13,0.125246370877438,0.623,0.08021689203402763,0.9868193618567296,0.11838443959029993,0.549,0.06946373026938893,1.9697250714030838,0.13190562607202594,0.613,0.09023435951703106,0.2090448229369435,0.12357231897790916,0.432,0.07709636511093138,0.17363134208417597,0.1313388774598819,0.601,0.09181285420887547,0.39009985182696827,0.1333003605877062,0.62,0.09405497759758864,0.7508978772072785,0.11031920615239103,0.396,0.059967874619068794,0.9252271356923152,0.11369593903361006,0.601,0.06525336662638041,1.430336932438621,2003-10-22 12:14:13,827.4286111111111,34.47619212962963
2003.10.22.12.19.13,0.1251974606387471,0.598,0.08082454644654781,1.0348390929763482,0.11900456965031322,0.535,0.07126535248633949,1.746088728598787,0.13161419968450877,0.598,0.09027221504253286,0.18936297123550005,0.12275035959723296,0.483,0.07652793696792404,0.3202018793239705,0.13108278894879277,0.552,0.0923850925293428,0.2623186056250799,0.1339691079129812,0.684,0.09650516577616132,0.6676685963648508,0.11103715286518405,0.393,0.059915339542099745,0.6531193541958311,0.11441291870587374,0.525,0.0663013840240152,1.378814049507163,2003-10-22 12:19:13,827.3452777777778,34.47271990740741
2003.10.22.12.24.13,0.12561814016563005,0.623,0.08203425304641705,1.1107277714105175,0.11968849195900948,0.537,0.07215293256570438,1.181741642863476,0.13077881512817022,0.725,0.08886140494459915,0.2612139758183294,0.12186588788051497,0.571,0.07604451750600577,0.3412006171289619,0.13130738905302275,0.527,0.09193162390325418,0.3265643109925018,0.1332806458808114,0.623,0.09504276753701124,0.47571236574384734,0.1101903056842882,0.376,0.05925517643699331,0.6360237344290605,0.1142575622326319,0.522,0.06627860046990251,1.498312203832553,2003-10-22 12:24:13,827.2619444444445,34.46924768518519
2003.10.22.12.29.13,0.12598810610870922,0.564,0.08172865727368518,1.0954384831313382,0.11928294573231384,0.703,0.07184606659022004,1.9711845656721163,0.13043177844423118,0.701,0.08986757380952401,0.22743809075400634,0.12171570960580129,0.427,0.07628022757276652,0.14381203658819475,0.13171370523405823,0.522,0.09353487289288469,0.3244131668476826,0.134084314950053,0.559,0.09629936517840772,0.58935040036702,0.12004629722137414,0.4,0.05860547787829967,0.6876835273025743,0.11372880640475394,0.43,0.06540275190780144,1.1286108098537637,2003-10-22 12:29:13,827.1786111111111,34.46577546296296
2003.10.22.12.34.13,0.1254834547345162,0.667,0.08131324281168532,0.8882823225693053,0.118342742024358,0.5,0.07078646426035115,1.0380747969574804,0.13157663299979408,0.598,0.09066465773392696,0.12557599781860862,0.12223013362672173,0.464,0.07678910760626717,0.20596717405739584,0.13103284248823602,0.508,0.09215323854147109,0.24718654578119104,0.13300252765748946,0.596,0.09513800826868593,0.4365476961530219,0.06614774353376973,0.332,0.06349368981973286,0.6146129681514925,0.11268439142273655,0.466,0.06471112264191867,1.2388944749117599,2003-10-22 12:34:13,827.0952777777778,34.462303240740745
2003.10.22.12.39.13,0.12507391310834717,0.603,0.08022926238371124,0.900486151205961,0.11872070732461229,0.505,0.07094270831753081,1.2947883564623686,0.13001018946695822,0.613,0.08876004254508002,0.13940662371848012,0.12213844003898303,0.588,0.07645377835348306,0.3337623224585484,0.13077409347952149,0.623,0.09164887015315666,0.6916871661559063,0.13356827425222934,0.605,0.09581573314370145,0.7968436299503927,0.11574464017186985,0.398,0.05840632591489501,0.8688157655464264,0.11333266117869001,0.532,0.06492601959337181,1.484702322295072,2003-10-22 12:39:13,827.0119444444445,34.45883101851852
2003.10.22.12.44.13,0.12539559920040305,0.696,0.08081264145367499,0.9386431255009366,0.1191778157117024,0.579,0.07180527898035843,1.6684804269166138,0.13122485659463015,0.61,0.08871013747863446,0.12450796263310115,0.12252054116682842,0.479,0.07601220972457079,0.23570113021542216,0.1309602392993528,0.574,0.09107296812648275,0.3427256314683822,0.13209776634389725,0.693,0.09360286048089259,0.601933225036408,0.08290687605775682,0.388,0.060295623680905346,0.807893605468013,0.11284862280915028,0.505,0.06423132430609854,1.515708064738619,2003-10-22 12:44:13,826.9286111111111,34.455358796296295
2003.10.22.12.49.13,0.12482766323140276,0.625,0.08124640057757315,0.9229430061434205,0.1187240327282797,0.535,0.07143537915968808,1.5037886229361277,0.12981735535726002,0.491,0.08852838562848987,-0.009855588270779592,0.12163743091503279,0.542,0.07576852283059872,0.1868074212982589,0.1310096320185681,0.535,0.09197682380598496,0.44012516054839956,0.13321766801108817,0.657,0.09557813332640418,0.7642231006817495,0.09949581664219294,0.396,0.05982517090391195,0.9575342277714762,0.11358674905351801,0.464,0.06597457604134606,1.221421239639084,2003-10-22 12:49:13,826.8452777777778,34.451886574074074
